Selection column	Selection value	Category column	Category value	Total size	Selection size	Category size	Intersection size	Enrichment factor	P value	Benj. Hoch. FDR
#!{Type}C	C	C	C	N	N	N	N	N	N	N
Cluster	Cluster -810	GOBP name	neutral amino acid transport	3278	364	4	4	9.0055	0.00014982	0.018016
Cluster	Cluster -810	GOCC name	MCM complex	3278	364	6	6	9.0055	1.807E-06	0.00014726
Cluster	Cluster -810	GOCC	GO:0042555	3278	364	6	6	9.0055	1.807E-06	0.00014726
Cluster	Cluster -810	GOBP	GO:0015804	3278	364	4	4	9.0055	0.00014982	0.018016
Cluster	Cluster -810	GOMF name	sodium ion transmembrane transporter activity	3278	364	8	6	6.7541	4.0128E-05	0.014346
Cluster	Cluster -810	GOMF	GO:0015081	3278	364	8	6	6.7541	4.0128E-05	0.014346
Cluster	Cluster -810	GOCC name	cytosolic small ribosomal subunit	3278	364	34	22	5.8271	8.1281E-14	2.0828E-11
Cluster	Cluster -810	GOCC	GO:0022627	3278	364	34	22	5.8271	8.1281E-14	2.0828E-11
Cluster	Cluster -810	GOCC name	eukaryotic 48S preinitiation complex	3278	364	14	9	5.7892	2.646E-06	0.00018081
Cluster	Cluster -810	GOCC	GO:0033290	3278	364	14	9	5.7892	2.646E-06	0.00018081
Cluster	Cluster -808	GOCC name	mitochondrial proton-transporting ATP synthase complex	3278	448	12	9	5.4877	2.2139E-06	0.0001565
Cluster	Cluster -808	GOBP name	mitochondrial ATP synthesis coupled proton transport	3278	448	12	9	5.4877	2.2139E-06	0.00046298
Cluster	Cluster -808	GOBP	GO:0042776	3278	448	12	9	5.4877	2.2139E-06	0.00046298
Cluster	Cluster -808	GOCC	GO:0045259	3278	448	12	9	5.4877	2.2139E-06	0.0001565
Cluster	Cluster -808	GOCC	GO:0005753	3278	448	12	9	5.4877	2.2139E-06	0.0001565
Cluster	Cluster -808	GOCC name	proton-transporting ATP synthase complex	3278	448	12	9	5.4877	2.2139E-06	0.0001565
Cluster	Cluster -810	KEGG name	Ribosome	3278	364	79	48	5.4717	2.9858E-27	1.5108E-24
Cluster	Cluster -810	KEGG	ko03010	3278	364	79	48	5.4717	2.9858E-27	1.5108E-24
Cluster	Cluster -810	GOCC name	translation preinitiation complex	3278	364	15	9	5.4033	5.8955E-06	0.00035547
Cluster	Cluster -810	GOCC	GO:0070993	3278	364	15	9	5.4033	5.8955E-06	0.00035547
Cluster	Cluster -810	GOCC	GO:0022625	3278	364	44	26	5.3214	9.5761E-15	2.8044E-12
Cluster	Cluster -810	GOCC name	cytosolic large ribosomal subunit	3278	364	44	26	5.3214	9.5761E-15	2.8044E-12
Cluster	Cluster -810	GOCC name	eukaryotic 43S preinitiation complex	3278	364	14	8	5.146	3.2432E-05	0.0016621
Cluster	Cluster -810	GOCC	GO:0016282	3278	364	14	8	5.146	3.2432E-05	0.0016621
Cluster	Cluster -810	GOCC	GO:0005852	3278	364	14	8	5.146	3.2432E-05	0.0016621
Cluster	Cluster -810	GOCC name	eukaryotic translation initiation factor 3 complex	3278	364	14	8	5.146	3.2432E-05	0.0016621
Cluster	Cluster -810	GOBP name	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	3278	364	96	52	4.878	3.8674E-26	5.5807E-22
Cluster	Cluster -810	GOBP	GO:0000184	3278	364	96	52	4.878	3.8674E-26	5.5807E-22
Cluster	Cluster -810	GOBP	GO:0001731	3278	364	15	8	4.8029	6.1917E-05	0.0085092
Cluster	Cluster -810	GOBP name	formation of translation preinitiation complex	3278	364	15	8	4.8029	6.1917E-05	0.0085092
