Selection column	Selection value	Category column	Category value	Total size	Selection size	Category size	Intersection size	Enrichment factor	P value	Benj. Hoch. FDR	Gene ratio
Cluster	Cluster -810	GOMF	GO:0015081	3278	364			6.7541	4.0128E-05	0.014346	
Cluster	Cluster -810	GOMF	GO:0003735	3278	364	120.0	49.0	3.6772	6.6931E-18	2.8714E-14	0.40833333
Cluster	Cluster -810	GOMF	GO:0008135	3278	364	60.0	18.0	2.7016	3.6263E-05	0.014142	0.3
Cluster	Cluster -810	GOMF	GO:0004386	3278	364	73.0	20.0	2.4673	5.5859E-05	0.018433	0.2739726
Cluster	Cluster -810	GOMF	GO:0003729	3278	364	82.0	22.0	2.4161	3.4405E-05	0.014142	0.2682927
Cluster	Cluster -810	GOMF	GO:0005198	3278	364	229.0	57.0	2.2415	4.8564E-10	1.0417E-06	0.2489083
Cluster	Cluster -808	GOMF	GO:0046983	3278	448	169.0	42.0	1.8184	2.5233E-05	0.013531	0.24852072
Cluster	Cluster -810	GOMF	GO:0003723	3278	364	427.0	81.0	1.7083	8.4633E-08	7.2615E-05	0.18969555
Cluster	Cluster -810	GOMF	GO:0003676	3278	364	751.0	121.0	1.451	5.0351E-07	0.00036001	0.1611185
Cluster	Cluster -808	GOMF	GO:0003824	3278	448	1372.0	241.0	1.2853	1.2638E-08	1.6516E-05	0.17565598
Cluster	Cluster -808	GOMF	GO:0003676	3278	448	751.0	67.0	0.65278	2.3028E-06	0.0014113	0.08921438
Cluster	Cluster -808	GOMF	GO:0003723	3278	448	427.0	34.0	0.58262	3.5611E-05	0.014142	0.07962529
Cluster	Cluster -808	GOMF	GO:0003735	3278	448	120.0	0.0	0	1.5399E-08	1.6516E-05	0.0
